#,type,manufacturer,displacement,speed,mass
1,Pump,Rexroth,28,4250,29
2,Pump,Rexroth,40,4000,31
3,Pump,Rexroth,56,3600,38
4,Pump,Rexroth,71,3300,50
5,Pump,Rexroth,90,3050,60
6,Pump,Rexroth,125,2850,80
7,Pump,Rexroth,56,3600,37
8,Pump,Rexroth,71,3300,48
9,Pump,Rexroth,90,3050,49
10,Pump,Rexroth,110,3150,84
11,Pump,Rexroth,125,3000,88
12,Pump,Rexroth,145,2850,106
13,Pump,Rexroth,175,2650,115
14,Pump,Rexroth,210,2500,152
15,Pump,Rexroth,280,2400,160
16,Pump,Rexroth,110,3400,88
17,Pump,Rexroth,145,3050,106
18,Pump,Rexroth,175,3000,115
19,Pump,Rexroth,71,3300,51
20,Pump,Rexroth,90,3050,53
21,Pump,Rexroth,250,2200,214
22,Pump,Rexroth,355,2000,237
23,Pump,Rexroth,500,1800,350
24,Pump,Rexroth,750,1600,500
25,Pump,Rexroth,18,4000,14
26,Pump,Rexroth,28,3900,25
27,Pump,Rexroth,45,3300,27
28,Pump,Rexroth,63,3000,39
29,Pump,Rexroth,71,3000,51
30,Pump,Rexroth,90,3000,51
31,Motor,Rexroth,22,4250,11
32,Motor,Rexroth,28,4250,11
33,Motor,Rexroth,40,4000,15
34,Motor,Rexroth,56,3600,21
35,Motor,Rexroth,71,3200,34
36,Motor,Rexroth,125,2600,61
37,Motor,Rexroth,250,2200,120
38,Motor,Rexroth,500,1800,260
39,Motor,Rexroth,18,4900,6.5
40,Motor,Rexroth,23,4700,12
41,Motor,Rexroth,28,4200,12
42,Motor,Rexroth,37,4200,17
43,Motor,Rexroth,45,4000,17
44,Motor,Rexroth,58,3600,22
45,Motor,Rexroth,63,3400,22
46,Pump,Danfoss,20,4500,10
47,Pump,Danfoss,24,3500,10
48,Pump,Danfoss,28,4000,30
49,Pump,Danfoss,32,4000,30
50,Pump,Danfoss,38,3900,38
51,Pump,Danfoss,45,3900,38
52,Pump,Danfoss,147,3100,96
53,Pump,Danfoss,165,3100,96
54,Pump,Danfoss,89,3800,62
55,Pump,Danfoss,101,3800,62
56,Pump,Danfoss,45,3500,41
57,Pump,Danfoss,53,3500,41
58,Pump,Danfoss,60,4000,50
59,Pump,Danfoss,68,4000,50
60,Pump,Danfoss,69,4000,56
61,Pump,Danfoss,78,4000,56
62,Pump,Danfoss,115,3400,83
63,Pump,Danfoss,130,3400,83
64,Pump,Danfoss,210,2800,163
65,Pump,Danfoss,250,2800,163
66,Motor,Danfoss,55,3700,22
67,Motor,Danfoss,75,3350,26
